  SafeAreaView has been deprecated and will be removed in a future release. Please use 'react-native-safe-area-context' instead. See https://github.com/th3rdwave/react-native-safe-area-context
 LOG  [BambooFlute mapping] C Major
hole=1 target=C4 source=FluteClean2_C2.wav shift=0 playbackRate=1.000 key=C Major|hole-1|C4
hole=2 target=D4 source=FluteClean2_D#2.wav shift=-1 playbackRate=0.944 key=C Major|hole-2|D4
hole=3 target=E4 source=FluteClean2_D#2.wav shift=1 playbackRate=1.059 key=C Major|hole-3|E4
hole=4 target=F4 source=FluteClean2_F#2.wav shift=-1 playbackRate=0.944 key=C Major|hole-4|F4
hole=5 target=G4 source=FluteClean2_F#2.wav shift=1 playbackRate=1.059 key=C Major|hole-5|G4
hole=6 target=A4 source=FluteClean2_A2.wav shift=0 playbackRate=1.000 key=C Major|hole-6|A4
hole=7 target=B4 source=FluteClean2_C3.wav shift=-1 playbackRate=0.944 key=C Major|hole-7|B4
 LOG  [BambooFlute press] hole=1 degree=1 scale=C Major target=C4 targetMidi=60 source=FluteClean2_C2.wav sourceMidi=60 shift=0 playbackRate=1.000 key=C Major|hole-1|C4 pointer=0
 LOG  [BambooFlute press] hole=2 degree=2 scale=C Major target=D4 targetMidi=62 source=FluteClean2_D#2.wav sourceMidi=63 shift=-1 playbackRate=0.944 key=C Major|hole-2|D4 pointer=0
 LOG  [BambooFlute release] hole=2 degree=2 scale=C Major target=D4 targetMidi=62 source=FluteClean2_D#2.wav sourceMidi=63 shift=-1 playbackRate=0.944 key=C Major|hole-2|D4 pointer=0
 LOG  [BambooFlute press] hole=1 degree=1 scale=C Major target=C4 targetMidi=60 source=FluteClean2_C2.wav sourceMidi=60 shift=0 playbackRate=1.000 key=C Major|hole-1|C4 pointer=0
 LOG  [BambooFlute release] hole=1 degree=1 scale=C Major target=C4 targetMidi=60 source=FluteClean2_C2.wav sourceMidi=60 shift=0 playbackRate=1.000 key=C Major|hole-1|C4 pointer=0
 LOG  [BambooFlute press] hole=2 degree=2 scale=C Major target=D4 targetMidi=62 source=FluteClean2_D#2.wav sourceMidi=63 shift=-1 playbackRate=0.944 key=C Major|hole-2|D4 pointer=0
 LOG  [BambooFlute release] hole=2 degree=2 scale=C Major target=D4 targetMidi=62 source=FluteClean2_D#2.wav sourceMidi=63 shift=-1 playbackRate=0.944 key=C Major|hole-2|D4 pointer=0
 LOG  [BambooFlute press] hole=3 degree=3 scale=C Major target=E4 targetMidi=64 source=FluteClean2_D#2.wav sourceMidi=63 shift=1 playbackRate=1.059 key=C Major|hole-3|E4 pointer=0
 LOG  [BambooFlute release] hole=3 degree=3 scale=C Major target=E4 targetMidi=64 source=FluteClean2_D#2.wav sourceMidi=63 shift=1 playbackRate=1.059 key=C Major|hole-3|E4 pointer=0
 LOG  [BambooFlute press] hole=4 degree=4 scale=C Major target=F4 targetMidi=65 source=FluteClean2_F#2.wav sourceMidi=66 shift=-1 playbackRate=0.944 key=C Major|hole-4|F4 pointer=0
 LOG  [BambooFlute release] hole=4 degree=4 scale=C Major target=F4 targetMidi=65 source=FluteClean2_F#2.wav sourceMidi=66 shift=-1 playbackRate=0.944 key=C Major|hole-4|F4 pointer=0
 LOG  [BambooFlute press] hole=5 degree=5 scale=C Major target=G4 targetMidi=67 source=FluteClean2_F#2.wav sourceMidi=66 shift=1 playbackRate=1.059 key=C Major|hole-5|G4 pointer=0
 LOG  [BambooFlute release] hole=5 degree=5 scale=C Major target=G4 targetMidi=67 source=FluteClean2_F#2.wav sourceMidi=66 shift=1 playbackRate=1.059 key=C Major|hole-5|G4 pointer=0
